1,ブルー・ナ・ボーニャ,2,53.6935,-6.44929,1,アイルランドのボイン川の屈曲部に位置する新石器時代の石室墳、立石、その他先史的遺跡群の複合体で、国際的にも重要なものである。時代が下ると、鉄器時代には墓地として使われ、中世にはノルマン人が入植した。また、1690年にはボイン川の戦いの舞台にもなった。
2,ブトリント,9,39.7459,20.021,1,アルバニア南部のサランダ県にある都市遺跡。かつてはギリシャ語でブトロトン（Βουθρωτόν）、ラテン語でブトロトゥム（Buthrotum）と呼ばれた。
3,フォース橋,15,55.9995,-3.38815,1,イギリス・スコットランドのエディンバラ近郊のフォース湾に架かる鉄道橋である。全長2530mのカンチレバートラス橋で1890年に完成した。19世紀、「テイ橋の悲劇」をはじめとして強風による落橋事故が相次いだため非常に強固な橋として設計された。2015年に世界遺産リストに登録された。
4,ストーンヘンジ,15,51.1788,-1.82618,1,ソールズベリーの南ウィルトシャーに位置している先史時代の巨石建造物群である。登録面積は約 26 km2 で、ストーンヘンジを中心としている。建造年代は紀元前3000年頃から大きく三期に分けられているが、建造目的等は諸説あって確定していない。
5,ウェストミンスター宮殿,15,51.4994,-0.124448,1,イギリスのロンドン中心部、テムズ川河畔に存在する宮殿。現在は英国議会が議事堂として使用している。併設されている時計塔（ビッグ・ベン）とともにロンドンを代表する景色として挙げられる。
6,ロンドン塔,15,51.5081,-0.0762084,1,イギリスの首都ロンドンを流れるテムズ川岸、イースト・エンドに築かれた中世の城塞である。
7,カステル・デル・モンテ,17,41.0847,16.2709,1,イタリアの南部、プッリャ州アンドリアの郊外にある中世の城。13世紀にローマ皇帝フリードリヒ2世（フェデリーコ2世）によって建築された。八角形を象徴的に取り入れた設計になっており、ユネスコの世界遺産（文化遺産）に登録されている。
8,カゼルタ宮殿,17,41.0732,14.3271,1,イタリア共和国カンパニア州のカゼルタにある宮殿。18世紀後半に、ナポリ王国（ブルボン朝）の王によって建設された。18世紀にヨーロッパで建てられた中で最も巨大な宮殿といわれる。1997年、ヴァンヴィテッリの水道橋とサン・レウチョの邸宅群と共にUNESCO世界遺産に登録された。
9,聖ソフィア大聖堂,23,50.4529,30.5142,1,かつてロシアへのキリスト教普及に多大な貢献をなしたとともに、キエフ・ルーシの繁栄を今に伝える聖ソフィア大聖堂、キエフ・ペチェールシク大修道院などを対象とするUNESCOの世界遺産リスト登録物件である。ウクライナの首都キエフに残るこの世界遺産は、1990年にウクライナの世界遺産としては最初に登録された。
10,シェーンブルン宮殿,33,48.185,16.3116,1,オーストリアの首都ウィーンにある宮殿。ハプスブルク王朝の歴代君主が、主に夏の離宮として使用した。現在、同宮殿と庭園群は世界遺産に登録されている。
11,パルテノン神殿,54,37.9715,23.7266,1,古代ギリシア時代にアテナイのアクロポリスの上に建設された、アテナイの守護神であるギリシア神話の女神アテーナーを祀る神殿。
12,サグラダ・ファミリア,86,41.4035,2.17441,1,カタロニア・モダニズム建築の最も良く知られた作品例であり、カタロニアの建築家アントニ・ガウディの未完作品である。バルセロナ市のシンボルであるこの建物は、綿密に構成された象徴詩的なシンボロジーと共に、パラボリックな（放物線状の）構造のアーチや、鐘楼に据えられた自然主義と抽象主義の混在する彫刻などで、大胆な建築様式を誇っている。
13,セビリア大聖堂,86,37.3859,-5.99314,1,スペイン・アンダルシア州セビリア県セビリアにある大聖堂（カテドラル）。「世界3位の大きさの大聖堂」と紹介されることがある。レコンキスタ以前はこの地には巨大なモスクが立っていたといわれている。クリストファー・コロンブスの墓がある。
14,ヘラクレスの塔,86,43.3859,-8.40652,1,海抜57メートルの丘に建つこの塔は55メートルの高さがあり、スペインにおいてチピオーナ灯台（スペイン語版） (62m) についで高い灯台である。灯台からは北大西洋を一望することができる。20世紀まではブリガンティウムの塔 (Farum Brigantium) の名で知られていた。
15,聖バルボラ教会,104,49.9449,15.2636,1,チェコのクトナー・ホラに位置するカテドラル様式のカトリック教会。聖バルボラ大聖堂 (チェコ語: Katedrál sv. panny Barbory) とも。中央ヨーロッパでも著名なゴシック建築教会の一つで、ユネスコの世界遺産に「クトナー・ホラの聖バルボラ教会のある歴史地区とセドレツの聖母マリア大聖堂」として登録されている。
16,リトミシュル城,104,49.8733,16.3128,1,城内にあるビール醸造所でチェコの国民音楽家、ベドルジハ・スメタナが生まれた。スメタナは幼い頃から天才ぶりを発揮し、城内でピアノやヴァイオリンの演奏を披露していた。1949年から毎年6月、リトミシュル城を主会場にスメタナ国際オペラ・フェスティバルが開催され、大統領や首相も鑑賞に訪れる。
17,クロンボー城,111,56.0391,12.6212,1,シェイクスピアの戯曲『ハムレット』の舞台「エルシノア城」として有名な城であるが、シェイクスピア自身がこの城を訪れたことはない。城内には、シェイクスピアを記念した石版が掲げられており、毎年夏には城の中庭を使ってHAMLET SOMMERと題する演劇公演が行われている。
18,ケルン大聖堂,112,50.9413,6.95814,1,現存の大聖堂は3代目で、初代が完成したのは4世紀のことであった。正方形の建物で、もっとも古い聖堂として知られていた。2代目は818年に完成し、12世紀後半に東方三博士の聖遺物が置かれたことで多くの巡礼者を集めてケルンの発展に貢献したが、1248年4月30日に火災で焼失した。
